   128      3
    69     78     77
     4     13     12
     2     11     10
    48     47     39
     6     14      5
    26     18     27
     1      2     10
     4     12      3
    29     38     37
    49     40     41
    29     30     38
    23     14     15
    57     58     66
    44     53     52
    67     58     59
    59     68     67
    71     80     79
    42     41     33
    59     51     60
    69     60     61
    71     62     63
    34     33     25
    42     51     50
    44     52     43
     6     15     14
    35     27     36
    35     26     27
     3     12     11
    20     12     21
    12     13     21
    11     20     19
    21     30     29
     3     11      2
    12     20     11
    21     22     30
    14     13      5
     5     13      4
    22     31     30
    39     30     31
    21     13     22
    14     22     13
    31     40     39
    14     23     22
    22     23     31
    50     41     42
    40     31     32
    10     11     19
    20     28     19
    20     29     28
    20     21     29
    49     48     40
    38     30     39
    29     37     28
    38     46     37
    64     55     56
    47     38     39
    47     55     46
    65     66     74
    67     75     66
    56     65     64
    64     65     73
    56     57     65
    65     74     73
    65     57     66
    56     47     48
    66     75     74
    67     68     76
    67     76     75
    55     47     56
    46     38     47
    40     48     39
    57     56     48
    58     49     50
    57     48     49
    66     58     67
    57     49     58
    58     50     59
    49     41     50
    50     51     59
    42     33     34
    59     60     68
    51     42     43
    68     77     76
    68     69     77
    60     69     68
    60     51     52
    69     70     78
    61     53     62
    70     79     78
    70     71     79
    61     62     70
    62     71     70
    62     53     54
    71     72     80
    72     81     80
    60     52     61
    43     35     44
    69     61     70
    52     53     61
    53     44     45
    71     63     72
    62     54     63
    51     43     52
    34     35     43
    34     26     35
    25     24     16
    36     44     35
    45     54     53
    36     45     44
    32     23     24
    32     31     23
    41     32     33
    41     40     32
    33     24     25
    33     32     24
    42     34     43
    25     26     34
    15     24     23
    16     15      7
     7     15      6
    16     24     15
     8     16      7
    17     25     16
    17     16      8
    17      8      9
    26     17     18
    26     25     17
    17      9     18
