   128      3
    45     53     44
    22     30     21
     2     10      1
    48     47     39
    15     23     14
    26     18     27
    29     38     37
    21     12     13
    21     20     12
    57     48     49
    75     66     67
    44     35     36
    57     58     66
    58     49     50
    52     43     44
    59     68     67
    50     41     42
    31     22     23
    59     51     60
    43     51     42
    69     70     78
    71     62     63
    34     33     25
    32     40     31
    34     25     26
     6     15     14
    35     27     36
    16     25     24
     3     12     11
    11     12     20
     4     12      3
     2     11     10
    21     30     29
    19     11     20
     2      3     11
    13     12      4
    14     13      5
     5     13      4
    22     31     30
    29     30     38
    21     13     22
    14     22     13
    32     33     41
    32     31     23
    40     39     31
    42     41     33
    42     51     50
    10     11     19
    20     28     19
    20     29     28
    20     21     29
    30     39     38
    30     31     39
    29     37     28
    38     46     37
    47     56     55
    57     66     65
    47     55     46
    56     57     65
    55     56     64
    65     73     64
    56     65     64
    66     74     65
    65     74     73
    47     48     56
    49     40     41
    66     75     74
    67     68     76
    67     76     75
    38     47     46
    38     39     47
    40     48     39
    57     56     48
    67     58     59
    48     40     49
    66     58     67
    57     49     58
    58     50     59
    49     41     50
    50     51     59
    43     35     44
    61     70     69
    68     59     60
    68     77     76
    68     69     77
    77     69     78
    68     60     69
    79     70     71
    69     60     61
    78     70     79
    54     62     53
    61     60     52
    79     71     80
    70     62     71
    71     72     80
    72     81     80
    62     61     53
    60     51     52
    53     61     52
    62     70     61
    63     62     54
    72     71     63
    51     43     52
    42     33     34
    35     26     27
    35     34     26
    45     44     36
    53     52     44
    54     53     45
    14     23     22
    14      5      6
    40     32     41
    23     24     32
    33     24     25
    33     32     24
    43     34     35
    43     42     34
    15     24     23
    16     15      7
     7     15      6
    16     24     15
    17     16      8
    17     25     16
    16      7      8
    17      8      9
    26     17     18
    26     25     17
    17      9     18
