   128      3
    22     14     13
    32     23     31
    71     80     72
    23     24     15
    13     12     21
    27     35     36
    30     29     38
    20     11     19
    15     14     23
    20     12     11
    21     22     13
    43     34     42
     2      1     10
    27     26     35
    24     16     15
    18     17     26
    41     33     32
    34     25     33
    35     34     43
    48     40     39
    44     43     52
    39     40     31
    60     59     68
    52     51     60
    69     70     61
    49     40     48
    67     66     75
    29     21     20
    76     67     75
    59     58     67
    70     71     62
    59     67     68
    11     12      3
     3      2     11
    10     11      2
    10     19     11
    29     20     28
    38     29     37
    37     29     28
    38     39     30
    47     48     39
    30     22     21
    23     14     22
    31     30     39
    21     29     30
    32     31     40
    22     30     31
    48     57     49
    50     59     51
     4      3     12
     5      4     13
     5     13     14
     4     12     13
    28     20     19
    21     12     20
     6      5     14
     7      6     15
    17      8     16
     6     14     15
    16      7     15
     9      8     17
    26     17     25
     8      7     16
    25     17     16
    18      9     17
    34     26     25
    27     18     26
    42     34     33
    35     26     34
    35     44     36
    31     23     22
    24     25     16
    32     24     23
    33     25     24
    41     32     40
    33     24     32
    50     41     49
    42     33     41
    51     43     42
    53     45     44
    60     51     59
    42     41     50
    44     52     53
    43     51     52
    36     44     45
    35     43     44
    53     54     45
    53     62     54
    53     52     61
    62     63     54
    62     71     63
    69     60     68
    71     72     63
    80     71     79
    80     81     72
    77     69     68
    61     52     60
    62     61     70
    62     53     61
    79     70     78
    61     60     69
    78     70     69
    79     71     70
    38     47     39
    66     67     58
    55     56     47
    68     67     76
    69     77     78
    68     76     77
    37     46     38
    57     58     49
    59     50     58
    41     40     49
    42     50     51
    49     58     50
    38     46     47
    66     58     57
    56     57     48
    55     47     46
    56     48     47
    65     56     64
    64     56     55
    65     57     56
    65     64     73
    66     65     74
    66     57     65
    66     74     75
    65     73     74
