    32      3
    11      6      7
    23     18     19
     4      9      8
     6      1      2
    18     17     13
     6      2      7
     8     13     12
     7      2      3
    12     17     16
     7     12     11
    17     21     16
    11     12     16
     8     12      7
    17     22     21
    13     17     12
    18     22     17
     3      8      7
    18     23     22
    14     18     13
    14     19     18
    19     20     24
     9      4      5
    23     19     24
    14     15     19
    25     24     20
    20     19     15
    14      9     10
    14     13      9
     4      8      3
     9     13      8
    10      9      5
    15     14     10
